Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Investigation reason),Custom field (Issue color),Custom field (Operational categorization),Custom field (Organizations),Custom field (Pending reason),Custom field (Product categorization),Custom field (Production Outage Severity),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Root cause),Satisfaction rating,Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story point estimate),Custom field (Urgency),Custom field (Workaround),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
socialworkdegreeguide.com - No Directory Links,HE-249,10771,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,17/Aug/18 1:26 PM,03/Oct/18 1:46 AM,19/Mar/19 1:06 PM,17/Aug/18 1:45 PM,,0,Affiliate,DirectoryLinks,Monetization,ServiceRequest,SocialWorkDegreeGuide.com,,,,,,,,,,,"*PC: Chrome / Edge & Mobile:IOS7|IOS6| SamsungS5-Chrome* No Directory Links
https://www.socialworkdegreeguide.com/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0045z:,,English,,,,,,,,,,,,,2018-08-17 18:26:43.326,17/Aug/18 1:26 PM;dacosta;This issue requires your attention. [~mcomardo],"17/Aug/18 1:32 PM;dacosta;This is an affiliate site, and they can choose where to place moneztiation, the suggestion will be forwarded. Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestEdSites.com School Removal,HE-248,10767,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,17/Aug/18 11:23 AM,28/Aug/18 8:19 AM,19/Mar/19 1:06 PM,,,0,Compliance,Escalated,ServiceRequest,,,,,,,,,,,,,"Requested by [Shilpa Shyam|https://app.asana.com/0/231159015628484/list]:

Hey guys can we get ""SBI Campus - An Affiliate of Sanford Brown"" removed from this page,
http://www.bestedsites.com/graphic-design/new-york/

Thanks!

┆{color:#707070}Attachments: [image.png|https://app.asana.com/app/asana/-/get_asset?asset_id=784801353999035]{color}
",,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00453:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2018-08-17 16:23:25.799,17/Aug/18 11:23 AM;dacosta;This issue requires your attention. [~mcomardo],"17/Aug/18 11:41 AM;syncbot;➤ {color:#999999}_Dave@Cafeto commented:_{color}

Forwarding to [Eric Rasch](https://app.asana.com/0/221958638007097/list) and frontend team.
","17/Aug/18 12:31 PM;syncbot;➤ {color:#999999}_Eric Rasch commented:_{color}

Once [Jason Comes](https://app.asana.com/0/221880129404897/list) launches this site in JAMstack, we'll be able to remove these.
","17/Aug/18 12:36 PM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

What's the timeframe on that [Jason Comes](https://app.asana.com/0/221880129404897/list)? Can we do anything to disable the page in the meantime?
","21/Aug/18 10:51 AM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

Bumping this up - anything we can do to disable the page in the meantime? Or can someone give me a timeframe? [Eric Rasch](https://app.asana.com/0/221958638007097/list)[Jason Comes](https://app.asana.com/0/221880129404897/list) I need to communicate a timeline back to the school at the very least. Ideally you guys can get the page taken down as a temporary measure.
","21/Aug/18 10:51 AM;syncbot;➤ {color:#999999}_Jason Comes commented:_{color}

[Shilpa Shyam](https://app.asana.com/0/231159015628484/list), I'll take care of this today.
","21/Aug/18 11:01 AM;syncbot;➤ {color:#999999}_Jason Comes commented:_{color}

Completed. SBI Campus - An Affiliate of Sanford Brown has been removed from site. School no longer exists per Shilpa, so she was good with removing it entirely from site. 

Clear cache and test: http://www.bestedsites.com/graphic-design/new-york/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestmedicaldegrees.com - Various Link Errors,HE-247,10766,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,17/Aug/18 11:06 AM,08/Oct/18 11:44 AM,19/Mar/19 1:06 PM,17/Aug/18 12:12 PM,,0,Affiliate,BestMedicalDegrees.com,Content,Incident,links,,,,,,,,,,,"*PC: Chrome/Edge | Mobile: IOS7 Chrome* Various Link Errors 
https://www.bestmedicaldegrees.com/
Picture:
https://docs.google.com/document/d/1PHXdu9n3cGs7lL1J_fE1DuVLpBwv-wZvJBbyuEdPSm0/edit",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0044v:,,English,,,,,,,,,,,,,2018-08-17 16:06:31.93,17/Aug/18 11:06 AM;dacosta;This issue requires your attention. [~mcomardo],"17/Aug/18 12:08 PM;dacosta;These errors must be corrected by the affiliate's frontend team. Thank you for reporting, this will be forwarded to the affiliate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestmedicaldegrees.com - No Directory Links,HE-246,10765,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,17/Aug/18 11:06 AM,07/Nov/18 5:01 PM,19/Mar/19 1:06 PM,17/Aug/18 12:00 PM,,0,Affiliate,BestMedicalDegrees.com,DirectoryLinks,Monetization,ServiceRequest,,,,,,,,,,,"*PC: Chrome/Edge |Mobile: IOS6 - Safari & IOS7/IOS6 -  Chrome* No Directory Links
+https://www.bestmedicaldegrees.com/+
*PC: Chrome*
https://www.bestmedicaldegrees.com/cheapest-online-medical-billing-coding-certificates-diplomas/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0044n:,,English,,,,,,,,,,,,,2018-08-17 16:06:32.793,17/Aug/18 11:06 AM;dacosta;This issue requires your attention. [~mcomardo],"17/Aug/18 11:59 AM;dacosta;This is an affiliate site, and they can choose where to place moneztiation, the suggestion will be forwarded. Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollegeDegree.com Edits,HE-245,10758,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,16/Aug/18 12:32 PM,28/Aug/18 8:19 AM,19/Mar/19 1:06 PM,,,0,Compliance,Escalated,ServiceRequest,,,,,,,,,,,,,"Reported by [Shilpa Shyam|https://app.asana.com/0/231159015628484/list]:

Hi team, can we get Rasmussen College removed from these two pages on CollegeDegree.com? I played around in the backend for a while and couldn't figure out how to remove it. I think it may be a template, because the ""Program Page"" doesn't have the schools listed.

https://www.collegedegree.com/courses/business-programs
https://www.collegedegree.com/courses/acc",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00433:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2018-08-16 17:32:27.333,16/Aug/18 12:32 PM;dacosta;This issue requires your attention. [~mcomardo],"16/Aug/18 1:02 PM;dacosta;Hello Shipla, 

Forwarding this compliance task to Eric too. 
Tagging you in Asana.
","17/Aug/18 6:31 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

This is done and live!
","17/Aug/18 6:36 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

This site is super annoying. I updated the README to indicate how I removed the schools from the pages in question.
","20/Aug/18 11:21 AM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

THANK you Jen!
","20/Aug/18 1:21 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

README: https://github.com/HigherEducation/CollegeDegree.com/blob/master/README.md
","20/Aug/18 1:26 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

[Shilpa Shyam](https://app.asana.com/0/231159015628484/list) doesn't have access to Github or Notion, so here are the instructions as they are today:

To remove a school from a page like: https://www.collegedegree.com/courses/business-programs:

  1. Log in to the backend: https://www.collegedegrees.com/admin/domain.php?action=view&id=22.
  2. Select the 'Program Data' tab.
  3. Find the matching program. This can be a wild guess given that many pages have same or similar names.
  4. Click on your guess, and check that the school you want to remove is featured there.
  5. Check ""Publish"" from yes/on to no/off and Save.
  6. Profit.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Removal of Schools on HackCollege.com,HE-244,10754,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf,16/Aug/18 11:34 AM,28/Aug/18 8:19 AM,19/Mar/19 1:06 PM,,,0,Compliance,Escalated,ServiceRequest,,,,,,,,,,,,,"Reported by [Shilpa Shyam|https://app.asana.com/0/231159015628484/list]:
Hi team - this is a big ask. We can get on a call to discuss further if needed.

We have been asked to remove the following schools across all pages on HackCollege.com. There are several instances of the schools, and I don't have a list of the exact pages unfortunately... 

The schools:
International Academy of Design and Technology
Sanford Brown College
Collins College
American InterContinental University
Colorado Technical University

If you look at this page, you can see that the schools are listed in the scroll bar on the bottom left:
http://www.hackcollege.com/school-finder/schools/missouri/business",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i00427:,he/0945967d-c632-4593-aba1-64e6117d6e5e,English,,,,,,,,,,,,,2018-08-16 16:34:47.789,16/Aug/18 11:34 AM;dacosta;This issue requires your attention. [~mcomardo],"16/Aug/18 11:44 AM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b5a0c40dfe79e2c947cdecf;Correction on the link:
http://www.hackcollege.com/school-finder/schools/missouri/business","16/Aug/18 11:46 AM;dacosta;Hello Shilpa, 

I'm escalating this to Eric and Frontend team, will keep you posted.

Have a great day!","16/Aug/18 1:36 PM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

[Jen G](https://app.asana.com/0/222991954176861/list) let me know what you need from me on this. I want to help as much as I can if it's not a easy fix..
","17/Aug/18 7:16 PM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

Removing schools from this site is a multi-step process.

I did the first part of this: I flipped the active flag in each of these schools' rows in the database to False.

The next step is where it starts getting tricky. These are all cached, static pages, and they have to be removed from the server so the web application can regenerate them (assuming the web application still works, of course). We don't have a good way to know which files have these schools in them and I don't know how slowly they have to be removed. The instructions say ""When deleting the files, be careful that you’re not giving the web server too many files to generate at once. Use caution when deleting these."" Hopefully that just sounds more ominous than it really is. 😆

I think this is where we get Matt involved to see how he thinks this could be accomplished and if the web application is likely to run again to regenerate the files.

I'll talk to him on Monday and get his opinion on this.

Thanks!
Jen
","21/Aug/18 10:06 AM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

[Shilpa Shyam](https://app.asana.com/0/231159015628484/list): I think we will be able to remove these schools. At least, we will be able to remove pages (that should then be regenerated 🤞) with that exact wording.

There are 16886 unique files with those exact word combinations, so it will take some time to complete the removal since we have to remove them in batches or risk tipping the server over.

Let me know about ITT Tech - that school is all over this site and this is our big opportunity to remove it. I'll remove that if needed and then Matt can begin the process.

Thanks!
Jen
","21/Aug/18 10:46 AM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

Yes - Green light for ITT Tech. 

Please let me know what else you need from me. Thank you guys so much, this is awesome - I am so glad to finally have this taken care of!
","23/Aug/18 8:31 AM;syncbot;➤ {color:#999999}_Jen G commented:_{color}

[Shilpa Shyam](https://app.asana.com/0/231159015628484/list):

Quick update: Matt has reported this is done! I've asked him if there is a list of affected files or directory paths. Otherwise, we've no way of knowing which URLs to check.

Thanks!
Jen
","23/Aug/18 11:36 AM;syncbot;➤ {color:#999999}_Shilpa Shyam commented:_{color}

Awesome guys! I can manually check the handful of pages that the compliance request came in on. I'll check later today and report back 🙂
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestmedicaldegrees.com - Missing Directory Link,HE-243,10752,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 10:21 AM,16/Aug/18 11:30 AM,19/Mar/19 1:06 PM,16/Aug/18 11:30 AM,,0,Affiliate,BestMedicalDegrees.com,DirectoryLinks,ServiceRequest,,,,,,,,,,,,"*PC Chrome / Edge & Mobile: IOS7 - Safari/ Chrome* Missing Directory Links in mobile version compared to pc version
https://www.bestmedicaldegrees.com/
+https://www.bestmedicaldegrees.com/top-paying-healthcare-careers/.+",,dacosta,syncbot,,,,,,,,,,,,16/Aug/18 11:29 AM;dacosta;screenshot-1.png;https://highereducation.atlassian.net/secure/attachment/10110/screenshot-1.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0041r:,,English,,,,,,,,,,,,,2018-08-16 15:21:31.977,16/Aug/18 10:21 AM;dacosta;This issue requires your attention. [~mcomardo],16/Aug/18 11:29 AM;dacosta;Editorial Links are available on both mobile and desktop versions. Thank you for reporting!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestmedicaldegrees.com - Invisible links,HE-242,10751,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 10:21 AM,16/Aug/18 10:54 AM,19/Mar/19 1:06 PM,16/Aug/18 10:53 AM,,0,Affiliate,BestMedicalDegrees.com,EditorialLinks,Incident,Monetization,,,,,,,,,,,"*PC: Chrome* Invisible directory links
+https://www.bestmedicaldegrees.com/top-paying-healthcare-careers/+
*Pictures :* +https://docs.google.com/document/d/1oo26tCjiKLb1juG7V0TtIShjenf0H532xzP3JblKOT8/edit+

┆{color:#707070}Attachments: [image.png|https://app.asana.com/app/asana/-/get_asset?asset_id=782531204617975]{color}
",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0041j:,,English,,,,,,,,,,,,,2018-08-16 15:21:31.904,16/Aug/18 10:21 AM;dacosta;This issue requires your attention. [~mcomardo],16/Aug/18 10:44 AM;dacosta;This was caused by the styling of the page. It has been solved by the affiliate and now the names are appearing. Attaching an image.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degreequery.com - No directory links,HE-241,10750,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 9:11 AM,09/Oct/18 11:14 PM,19/Mar/19 1:06 PM,16/Aug/18 9:25 AM,,0,Affiliate,DegreeQuery.com,DirectoryLinks,Monetization,ServiceRequest,,,,,,,,,,,"*PC: Chrome/Edge &Mobile:IOS6 -Safari/Chrome* No directory links
https://www.degreequery.com/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0041b:,,English,,,,,,,,,,,,,2018-08-16 14:11:31.9,16/Aug/18 9:11 AM;dacosta;This issue requires your attention. [~mcomardo],"16/Aug/18 9:25 AM;dacosta;This is an affiliate site, and they can choose where to place moneztiation, the suggestion will be forwarded. Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degreequery.com - Widget doesn't work,HE-240,10749,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 9:11 AM,16/Aug/18 9:45 AM,19/Mar/19 1:06 PM,16/Aug/18 9:45 AM,,0,Affiliate,DegreeQuery.com,Incident,Monetization,Widgets,,,,,,,,,,,"*SamsungS5* Widget options do not appear
https://www.degreequery.com/",,dacosta,syncbot,,,,,,,,,,,,16/Aug/18 9:44 AM;dacosta;DQ_widget.gif;https://highereducation.atlassian.net/secure/attachment/10109/DQ_widget.gif,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i00413:,,English,,,,,,,,,,,,,2018-08-16 14:11:31.948,16/Aug/18 9:11 AM;dacosta;This issue requires your attention. [~mcomardo],16/Aug/18 9:44 AM;dacosta;This seems to be solved. I'm attaching an image. Thank you for reporting.,16/Aug/18 9:44 AM;dacosta;!DQ_widget.gif!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegeaffordabilityguide.org - No Directory Links,HE-239,10748,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 8:36 AM,22/Nov/18 4:45 AM,19/Mar/19 1:06 PM,16/Aug/18 8:50 AM,,0,Affiliate,CollegeAffordabilityGuide.org,DirectoryLinks,Monetization,ServiceRequest,,,,,,,,,,,"*PC: Chrome/ Edge | Mobile: Oneplus/IOS7 Chrome / IOS6 Safari*- No Directory Links on all checked pages


* https://www.collegeaffordabilityguide.org
* https://www.collegeaffordabilityguide.org/transfer-credit/
* +https://www.collegeaffordabilityguide.org/schools/new-york/+
* +https://www.collegeaffordabilityguide.org/financial-aid/how-to-pay-for-graduate-school/+
* https://www.collegeaffordabilityguide.org/subjects/exercise-science/
* https://www.collegeaffordabilityguide.org/subjects/sports-management/
* https://www.collegeaffordabilityguide.org/subjects/film-video-photo/
* https://www.collegeaffordabilityguide.org/subjects/marketing/
* +https://www.collegeaffordabilityguide.org/subjects/early-childhood/+",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0040v:,,English,,,,,,,,,,,,,2018-08-16 13:36:29.379,16/Aug/18 8:36 AM;dacosta;This issue requires your attention. [~mcomardo],"16/Aug/18 8:49 AM;dacosta;This is an affiliate site, and they can choose where to place moneztiation, the suggestion will be forwarded. Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collegeaffordabilityguide.org - No Widgets,HE-238,10747,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Low,Done,dacosta,syncbot,syncbot,16/Aug/18 8:36 AM,09/Oct/18 12:23 PM,19/Mar/19 1:06 PM,16/Aug/18 8:44 AM,,0,Affiliate,CollegeAffordabilityGuide.org,Monetization,ServiceRequest,Widgets,,,,,,,,,,,"*PC Chrome/Edge Mobile: OnePlus/SamsungS5/IOS7 Chrome / IOS6 Safari* No Widgets
https://www.collegeaffordabilityguide.org/",,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0040n:,,English,,,,,,,,,,,,,2018-08-16 13:36:29.23,16/Aug/18 8:36 AM;dacosta;This issue requires your attention. [~mcomardo],"16/Aug/18 8:44 AM;dacosta;This is an affiliate site, and they can choose where to place moneztiation, the suggestion will be forwarded. Thank you for reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Laptop,HE-237,10744,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6,15/Aug/18 3:00 PM,28/Aug/18 8:04 AM,19/Mar/19 1:06 PM,,,0,Escalated,Laptop,,,,,,,,,,,,,,,,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i003zz:,he/8868d817-b45d-4c87-bfcf-6bae64536795,English,,,,,,,,,,,,,2018-08-15 20:00:44.364,15/Aug/18 3:00 PM;dacosta;This issue requires your attention. [~mcomardo],"15/Aug/18 3:54 PM;dacosta;Hello [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6]

I will forward your request to Jonathan Edge. This is more of his area. Since he is on PTO, it might take a day or two before he answers.

Have a great day!","16/Aug/18 11:21 AM;syncbot;➤ {color:#999999}_Jonathan Edge commented:_{color}

Hi [Doug Milnes](https://app.asana.com/0/722686611860614/list) - Is your current PC having issues? We typically have users stick to one laptop for the duration of said laptop.
","16/Aug/18 1:45 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6;Hey Jonathan, my laptop is really heavy and I've been travelling so I'd like something that travels better/doesn't hurt my back.","24/Aug/18 3:46 PM;syncbot;➤ {color:#999999}_Jonathan Edge commented:_{color}

[Doug Milnes](https://app.asana.com/0/722686611860614/list) - Laptop will be here Monday, can you ping me your shipping address? thanks!
","24/Aug/18 3:46 PM;syncbot;➤ {color:#999999}_Doug Milnes commented:_{color}

22 Colony Drive, Summit NJ 07901
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I have a Go To Meeting Dial In,HE-236,10743,Service Request,Escalated,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Medium,,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6,15/Aug/18 2:58 PM,28/Aug/18 8:04 AM,19/Mar/19 1:06 PM,,,0,Escalated,GoToMeeting,,,,,,,,,,,,,,,,dacosta,syncbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i003zr:,he/c8006ec6-ecf5-4790-b337-bee4ed8f853a,English,,,,,,,,,,,,,2018-08-15 19:58:06.166,15/Aug/18 2:58 PM;dacosta;This issue requires your attention. [~mcomardo],"15/Aug/18 3:54 PM;dacosta;Hello [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b6af6a52ba0e03be05322c6]

I will forward your request to Jonathan Edge. This is more of his area. Since he is on PTO, it might take a day or two before he answers.

Have a great day!","16/Aug/18 11:16 AM;syncbot;➤ {color:#999999}_Jonathan Edge commented:_{color}

Account created, invite sent.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty 404ing on first form,HE-235,10741,Service Request,Closed,HE,Higher Education,service_desk,dacosta,Higher Education Service Desk,https://highereducation.atlassian.net/servicedesk/customer/portal/2,Urgent,Done,dacosta,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b106baf93816854030df97a,qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b106baf93816854030df97a,15/Aug/18 2:44 PM,28/Aug/18 8:18 AM,19/Mar/19 1:06 PM,15/Aug/18 3:54 PM,,0,Forms,Incident,,,,,,,,,,,,,,"Go to bestvalueschools.com

Submit Bachelor's Elementary education on widget.  You should get Liberty.

Strangely, it does not ask me address, but if you fill out what you can and submit, you will get a 404 error.

Have seen few to no first form Liberty SEL leads since Monday.",,dacosta,,,,,,,,,,,,,15/Aug/18 2:49 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b106baf93816854030df97a;image.png;https://highereducation.atlassian.net/secure/attachment/10108/image.png,,,,,,,,,,,,,,,,,,{},,,,,,,,,2,,,,0|i003zb:,he/85fb3dff-7ea5-43f6-b162-5e9b33af8c8c,English,,,,,,5,,,,,,,2018-08-15 19:44:42.04,15/Aug/18 2:44 PM;dacosta;This issue requires your attention. [~dacosta],15/Aug/18 2:44 PM;dacosta;This issue requires your attention. [~mcomardo],"15/Aug/18 2:50 PM;qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b106baf93816854030df97a;correction, it was  500 error.  Apologies, I made this task in a bit of haste.  attached my screen after submitting.

!image.png|thumbnail!","15/Aug/18 3:36 PM;dacosta;Hello [~qm:6fc3e611-5401-48ac-b2fa-b8a969f39e7c:5b106baf93816854030df97a]

So the issue was that backend code was verifying the state before submitting the lead and going on to the next form. This was actually from a PR made on Monday. Since Liberty's form doesn't ask for a state to be submitted, the value was missing, therefore there were no leads since then.

Huge find! Thank you for reporting! The code was corrected by the backend team and the forms were tested to verify they're working again as expected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
